brute,dp,bnb
1888,808,2064
1888,808,2064
1888,808,2064
1888,808,2064
2120,808,2064
2120,808,2064
2120,808,2064
1888,808,2064
2120,808,2064
2120,808,2064
1888,808,1960
2120,1592,2062
2120,1684,2086
2120,808,2158
2112,1592,1960
2112,808,2158
2112,808,2060
2120,1692,2062
2120,1600,1960
2120,808,1936
2144,1604,2150
2168,1592,1958
2152,1592,2126
2464,1604,2150
2432,1600,2150
2432,808,2126
2144,1808,2278
2720,808,1958
2464,1684,2896
2432,1604,2454
2496,1592,2270
2752,808,2342
2208,1868,3142
3104,808,2992
2496,1604,2896
2752,1592,2190
2760,1592,2046
2232,1592,2278
3128,1604,2342
2528,1592,2574
2752,1664,2710
2800,1668,2254
2520,1668,3056
2776,808,2334
2496,1740,2710
2752,1656,2710
2776,1748,2710
2496,1908,3206
2496,1656,2134
2496,1668,2406
3112,1932,3278
2776,1908,2984
2520,1932,2310
2240,1668,2406
2496,1988,2984
2776,1932,2166
2496,1740,3206
2800,1908,2960
2776,1988,2334
2216,1668,2134
2496,1740,2406
2544,1740,2638
2544,1908,2710
3128,1740,2190
3104,2012,2310
3128,1988,3032
3128,1932,2710
2776,1932,2190
2496,1656,2638
2232,1764,2638
2800,1908,2710
2520,1820,2710
2544,1756,2686
2776,1964,2662
2800,1932,2710
2776,1988,2734
3104,1988,2984
2752,1656,2710
2776,1988,2406
3104,1988,2638
2776,1932,3494
2496,2012,3206
2520,1932,3056
2520,2012,2960
2776,1820,2710
3128,1964,2960
2520,1656,3056
2752,1988,3128
2776,2196,3056
2776,2012,2710
2520,1964,2984
2544,1932,2454
2776,1656,2334
2496,1820,2710
3160,1740,3230
2776,1820,2984
2776,1988,2430
2520,1820,2710
2496,1988,2710
3128,1932,3494
2520,1820,2710
2776,1988,2190
2520,1820,3278
2520,2196,3008
2800,1988,2662
2776,1740,2710
2776,1988,3206
2800,1964,2710
2776,1740,2960
2776,1820,2430
2384,1612,2208
2152,1612,2208
2384,1612,2208
2128,1612,2208
2128,1612,2208
2384,1612,2208
2384,1612,2208
2384,1612,2208
2384,1612,2208
2128,1612,2208
2664,808,2334
2408,1782,2992
2672,1790,2334
2152,1724,2182
2416,1708,2008
2152,1692,2518
2440,808,2182
2672,1592,2158
2672,1724,2518
2408,1790,2182
2520,1612,3040
2752,1724,2086
2784,1758,2086
2528,2214,2334
3112,1856,3222
3168,1864,3366
3304,1840,2278
3080,1888,2398
3160,1860,2086
2520,1732,2040
2792,1876,3622
2592,1916,2862
3176,1868,2742
2848,1974,2742
2816,1758,3064
3200,1892,2462
2592,808,2790
3152,1916,2558
3144,1844,3406
2824,1604,3064
2840,2052,3494
2824,2086,3056
3144,2316,3446
3344,1996,2830
2848,2102,3080
3200,1740,2806
2800,1932,2854
2848,2252,3686
3224,1932,3326
2824,2052,2310
3320,2044,3686
3336,2060,3128
2816,2094,3446
3224,2084,2926
3224,1656,3320
3200,2070,3152
3336,2084,3176
2864,2086,3128
3320,2086,2526
3552,2110,3494
3336,2094,3470
3216,2060,2854
2584,2020,3200
2816,2086,3446
2272,2110,3446
2864,2068,3128
3192,2086,2526
3200,2108,3152
3360,2036,2574
2608,2094,3398
3320,2084,2310
3168,2118,2806
3288,2028,2950
3288,2084,2902
3344,2060,3638
3192,2134,2878
3552,2070,2526
3224,2060,3296
3384,2020,3870
3224,2036,3446
3312,2108,3446
3272,2036,2502
3192,2118,3638
3416,2100,3686
3312,2060,3918
3336,2342,3374
3312,2182,3128
2640,2108,3374
3288,2086,2926
3192,2300,3518
3240,2036,3494
2864,2052,3152
3360,2110,3446
3576,2118,3442
3296,2060,3566
3192,2442,3248
2946,2060,3494
3416,2094,2454
3336,2134,3446
3576,2134,3918
3336,2036,2686
3360,2182,3248
3312,2068,2952
3336,2294,3398
3136,2108,3710
2888,2158,3224
3200,2134,2854
3216,2158,3374
3312,2108,2878
3632,2084,2902
2600,1782,3160
2176,2104,3040
2064,1846,2526
2048,1748,2758
2032,808,3208
2016,2072,2232
2000,2104,3208
2686,1814,3136
2742,2136,2662
2454,2008,2686
2568,1968,2526
2176,1950,3208
2088,1822,3040
2048,1886,2232
2032,2008,2232
2016,1838,2662
2000,1814,2662
2736,2408,2406
2736,2312,3264
2752,2104,3136
3144,2272,2822
3302,1886,2518
2910,1912,3160
3176,2392,3582
2824,2184,3392
3224,1886,3208
2862,2048,2544
2824,2288,3294
2872,2072,2822
3304,2200,2542
2622,1592,2862
2662,2016,3406
2912,2544,2886
2646,2014,3280
2830,2142,2822
2590,2344,2366
2638,2110,2838
2638,2304,3280
2614,1972,3430
2648,1716,3256
2886,2254,3496
3366,2278,2974
2648,2456,3320
3256,2182,2670
3232,2060,3000
2936,2344,3320
2912,2158,3494
2878,2222,2720
2904,2710,2902
2886,2646,2672
3358,2302,3224
3248,2512,3470
2878,2360,3758
2686,2448,3544
2696,2190,3024
3392,2166,3542
3224,2736,3344
2902,2566,3296
2912,2520,3470
3248,2568,2998
3280,2336,4038
2936,2600,3000
2902,3030,3568
2648,2472,2768
2686,2504,2432
3256,2584,2672
3232,2504,4182
3200,2334,3686
3382,2296,3494
2878,2614,3070
3366,2448,3368
3248,2840,3224
2926,2590,3542
3366,2456,3494
3382,2592,2928
3224,2534,3832
3272,2302,3368
3678,2440,3518
3224,2262,3320
3224,2488,3320
3382,2744,3734
3224,2726,3344
3272,2480,4040
2926,2552,3542
3256,2360,3966
3224,2288,3518
3224,2512,3806
2928,2480,3094
3358,2456,3368
3392,2528,3518
3328,2632,3758
3248,2304,3120
2952,2504,3296
2886,2568,3566
3432,2816,3542
3382,2550,3758
3390,2872,3518
2936,2528,3120
2902,2368,3368
3304,2720,4014
3654,2520,3542
3358,2600,3758
3366,2358,3024
2952,2632,3966
3272,2600,3344
3320,2480,3094
3438,2944,3590
2936,2350,2998
3280,2816,3368
3416,2544,3542
2176,2392,2552
2176,2328,2552
2176,2328,2552
2176,2616,2552
2176,2970,2552
2176,2906,2552
2176,2168,2552
2176,1748,2552
2176,2552,2552
2176,3002,2552
2230,3394,3256
2230,3306,2576
2518,2288,2832
2254,1950,3184
2566,2240,3750
2254,2632,2552
2542,2818,2832
2254,2336,2576
2542,2144,2830
2222,1950,2624
2606,3010,2662
2630,2640,2920
2814,3066,3256
2870,2928,3304
2838,2768,2688
2606,2368,2712
2342,2946,2712
2630,3194,2566
2294,3642,2616
2846,2474,2688
3646,2704,3032
2672,3314,2800
2910,3354,2958
2896,3184,2776
2680,3586,3032
3326,2936,2776
2944,2888,3256
2704,2840,2960
2918,3352,2982
2630,3642,3478
2968,3152,3416
3640,3362,3544
2718,3048,3782
3256,3072,3592
2696,3386,4062
2934,2768,3392
2968,3698,3590
3016,3176,3344
2896,2792,2888
2920,3746,3144
3456,3626,3320
2944,2968,2792
3336,3376,3120
3280,3224,3072
3366,2920,3832
3288,3338,3568
2992,3176,2792
2936,3776,3614
3390,3216,3568
3232,3786,3096
3606,3056,3592
3448,3562,3344
3008,3296,3096
2984,3762,3168
2984,3008,2936
3280,3208,3416
3280,3224,3168
3400,2624,3416
2910,3714,3416
3414,3776,3392
3312,3258,3168
2720,3128,3416
3654,3626,3854
3352,2864,3542
3040,3570,3590
3304,3304,3416
3494,3970,3168
2944,3536,3878
2984,3602,3440
3016,2952,3168
3352,3554,4062
3422,3432,3368
3392,3800,3416
3486,3786,3542
3360,3384,3592
3336,3152,3616
3480,3312,3440
3304,3224,3856
3280,3890,3416
3448,3088,3120
3008,3312,3664
3336,3384,3616
3784,3240,3192
3304,3730,3856
3328,3272,3416
3448,3456,3120
3446,3568,3880
3016,3720,3566
2984,3552,3592
3710,3560,3688
3742,3682,4112
