brute,dp,bnb
2,1.995,0.049
2.993,1.995,0.062
2.001,2.995,0.062
1.98,2.008,0.063
3.001,2.987,0.062
2.002,2.99,0.049
2.007,3.002,0.062
1.993,3.002,0.059
2.008,3,0.061
2.002,1.992,0.044
1.993,2,0.051
3.008,2.001,0.048
2.007,2.002,0.063
3,3.001,0.054
2.002,2.998,0.062
1.998,3,0.062
2.001,1.997,0.052
2.997,2.988,0.073
2.002,3.991,0.045
2,4.003,0.076
2,2.995,0.044
2.007,3.001,0.074
3.007,2.997,0.049
3.006,2.001,0.049
2.994,2.988,0.041
2,2.988,0.065
2.994,3.01,0.056
2.987,2.995,0.063
3,2.998,0.129
2.993,3.004,0.073
2.001,3,0.076
1.994,2.98,0.051
1.999,3,0.067
2.006,2.99,0.073
3.001,3,0.046
2.002,2.99,0.059
2.016,3,0.069
3.003,2.99,0.045
3.001,2.99,0.054
2.995,1.98,0.049
2.001,1.999,0.049
3.002,3.999,0.064
3.001,3.001,0.063
3,2.983,0.049
3.001,2.989,0.051
3.002,2.991,0.994
4.001,2.986,0.051
2.006,2.994,0.052
2.994,2.989,0.062
3,3,0.066
2.995,2.985,0.049
3.001,3.004,0.047
3.007,2.002,0.115
2.988,2.989,0.065
2.988,2.985,0.051
1.999,2.988,0.067
2.006,2.993,0.062
1.007,1.987,0.049
2.007,2.995,0.047
3.015,3.008,0.081
3.002,3,0.053
3.001,3.989,0.056
3.007,2.994,1
3.007,2.002,0.068
3.001,2.987,0.063
2.994,3,0.047
3,3,0.05
3.011,3.008,0.056
3.004,2.992,0.046
2.995,2.988,0.055
2.993,3.994,0.047
3.007,3.004,0.054
3.008,2.993,0.053
1.999,2.994,0.054
4.007,3.989,0.078
2.993,3.008,0.067
4.002,2.995,0.05
2.988,2.993,0.081
2.999,2.995,0.086
3.012,3,0.062
2,3.999,0.051
3,3.001,0.067
3,4,0.047
2.993,4.005,1.001
2.999,4,0.049
2.999,3.002,0.051
2.999,4.002,0.045
4.001,2,0.064
2.998,2.006,0.061
4.001,3.002,0.061
4,3.001,0.061
1.994,4.004,0.064
3.002,2.993,0.069
2.999,3.993,0.052
4.001,4.002,0.053
3.013,3,0.059
3.006,2.994,0.049
2.998,3.001,0.051
3,2.983,0.056
2.997,4,0.056
2.987,2.003,0.043
2.995,3.995,0.051
3,2.995,0.066
2.001,2.995,0.071
4.003,4.002,0.052
3.002,3.994,0.051
4.004,3.002,0.052
2.994,3.003,0.045
3.001,2.002,0.064
2,3.005,0.082
7.994,9,0.105
7.996,6.997,0.087
6.99,7.004,0.111
7.996,7.001,0.09
7.005,8.005,0.108
6.986,10.003,0.101
6.995,7.001,0.103
8.002,7.997,0.105
7,7.008,0.148
6.002,7.005,0.097
5.999,8.002,0.105
8,7.003,0.115
7.998,8.001,0.088
9.002,7.996,0.09
7.006,7.997,0.125
7.994,6.991,0.107
7.985,10.004,0.102
5.988,7.002,0.123
7.999,7.998,0.068
6.995,6.989,0.084
6.995,7.002,0.129
7.997,8.004,0.111
7.986,6.989,0.106
7.003,8.011,0.112
6.998,6.996,1.002
7.003,6.996,0.146
6.997,7.002,0.091
8.002,7.003,0.106
7.984,7.991,1.003
7.998,6.994,0.079
